0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180
1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,2,1,0,1,0,0,0,0,2,0,0,0,0,0,3,4,2,1,2,2,2,0,0,1,4,2,2,1,0,1,1,0,4,5,1,4,1,2,3,3,0,2,1,2,3,1,1,3,1,0,3,0,1,0,1,1,2,0,2,1,4,2,1,0,3,0,2,0,3,1,0,3,1,3,4,5,4,5,2,0,3,2,3,4,2,6,2,3,5,5,3,7,5,2,4,4,5,6,3,8,3,4,7,3,5,1,3,3,4,7,6,4,5,4,7,4,2,6,5,4,3,5,3,4,5,5,2,3,6,4,4,0,355
2,0,1,0,0,1,1,1,1,1,0,1,0,0,2,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,2,1,1,0,1,0,0,1,0,2,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,2,3,5,0,0,5,2,1,2,4,1,4,2,1,4,0,2,3,4,2,3,5,2,1,2,2,1,3,2,2,2,5,1,3,3,2,2,5,0,3,1,0,1,0,2,1,2,1,0,1,0,3,0,1,1,2,0,1,3,6,6,3,6,5,4,6,9,5,10,2,4,10,9,7,1,6,2,9,7,3,8,7,6,1,5,5,5,4,6,3,5,3,4,5,8,2,4,5,4,4,15,3,7,10,8,3,6,3,2,6,3,11,3,4,9,6,4,7,0,469
3,1,0,2,0,2,2,0,2,3,1,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,3,0,0,0,0,0,0,1,0,0,1,2,0,3,3,4,3,2,0,5,2,3,2,0,1,3,2,5,4,2,2,3,4,0,3,3,0,3,1,2,2,3,6,4,1,1,4,5,5,3,0,1,1,2,2,6,0,1,1,0,2,2,1,6,3,2,2,4,2,4,0,2,5,8,6,3,5,9,3,9,6,3,3,6,4,6,8,12,8,6,5,4,4,6,7,8,7,7,9,7,8,7,5,4,8,5,12,6,8,5,6,6,9,13,6,6,7,7,4,8,9,8,3,4,8,9,6,9,6,11,7,0,572
4,0,1,0,0,0,0,0,1,2,1,2,0,1,0,2,2,0,0,0,4,0,0,3,0,0,0,0,2,1,1,1,2,1,0,2,0,0,0,0,1,1,0,0,2,1,0,2,1,1,1,0,1,0,0,1,1,0,1,1,0,1,4,2,2,3,0,2,0,3,1,3,5,9,3,2,0,3,5,3,5,1,3,2,7,3,1,2,4,1,2,4,6,5,5,1,4,2,1,1,2,1,4,2,4,3,3,4,6,3,3,4,1,1,3,1,3,3,2,7,1,10,5,5,9,13,3,8,8,6,5,7,9,3,9,5,12,12,5,4,3,5,10,10,6,9,11,8,8,5,7,11,6,11,13,3,4,8,4,10,5,10,12,10,12,1,7,10,6,6,10,4,7,6,12,10,8,2,11,6,0,661
5,0,2,0,0,0,3,1,1,1,1,0,1,0,0,1,0,0,2,1,2,1,0,0,0,3,0,1,0,0,1,2,1,2,0,2,0,0,1,1,0,1,0,2,2,0,1,0,1,0,0,2,1,1,0,3,2,1,1,1,0,1,5,5,4,4,2,3,7,2,3,4,2,6,2,4,3,4,4,4,5,1,3,5,1,2,4,3,1,5,6,4,4,4,2,2,4,5,4,3,3,7,4,4,4,3,2,4,5,2,5,0,3,3,0,2,4,2,4,1,3,4,6,12,10,13,6,9,8,14,9,9,5,15,12,10,12,12,12,6,14,8,8,13,5,7,6,12,11,12,11,15,9,8,11,10,8,12,9,7,8,9,10,10,13,6,9,10,9,7,10,7,15,16,13,7,8,8,11,7,0,825
6,1,1,1,1,1,0,0,0,1,1,1,6,2,2,2,2,2,3,2,0,0,2,0,0,1,0,0,0,1,1,3,2,1,1,0,1,2,2,2,1,0,0,0,2,1,1,1,2,3,2,1,3,1,0,0,0,1,0,0,1,0,3,3,3,6,4,4,6,5,3,2,4,6,4,2,4,4,8,4,3,4,7,4,5,5,10,5,3,5,1,12,8,3,4,2,6,3,4,2,1,5,5,6,1,3,4,2,4,5,4,8,4,8,4,8,3,4,4,5,6,6,16,13,11,11,13,12,6,12,8,8,12,11,12,11,8,9,12,9,7,10,21,10,8,16,12,11,13,16,10,10,5,14,10,6,12,10,7,8,11,18,17,10,15,8,7,10,11,10,17,10,19,14,13,11,11,11,13,10,0,995
7,1,0,3,1,2,0,0,1,1,4,0,0,0,2,2,0,1,2,2,0,3,2,0,3,2,2,0,0,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1,2,1,4,0,2,1,2,1,1,1,2,2,2,3,4,4,3,7,4,5,5,7,7,2,3,3,6,3,4,1,6,5,2,4,6,10,8,4,2,2,1,2,6,2,10,7,6,4,4,4,4,3,5,4,3,7,4,10,4,2,5,3,13,4,9,5,6,7,4,3,5,7,8,4,9,8,12,14,17,11,13,15,14,17,7,10,7,11,11,14,8,11,19,15,16,18,12,16,13,10,16,10,7,22,12,8,17,16,12,16,18,11,15,15,20,15,16,9,16,17,13,18,11,15,10,17,17,9,14,15,12,16,14,0,1157
8,2,1,1,2,1,1,0,2,3,0,2,1,4,2,2,0,1,1,2,1,2,3,2,2,1,1,0,1,1,0,0,0,2,2,1,1,1,0,0,2,2,2,1,0,3,0,1,1,3,0,1,2,2,6,0,3,3,3,1,1,0,3,5,7,6,9,6,4,5,6,4,5,7,4,10,9,10,5,1,6,10,7,11,7,7,2,5,11,6,4,9,5,6,5,5,7,4,5,8,8,4,6,8,4,5,7,3,5,6,7,6,3,4,6,5,8,12,5,6,5,14,11,10,17,12,19,21,25,19,15,21,15,15,18,16,16,17,11,19,16,16,15,16,17,22,16,11,19,14,14,14,13,15,16,14,13,10,15,18,18,8,13,16,14,17,19,9,14,15,16,22,13,18,17,13,20,16,17,16,0,1371
9,2,2,0,2,0,2,0,2,1,1,3,3,3,1,1,2,1,2,2,2,2,1,2,1,2,2,1,3,0,1,1,0,1,1,2,1,3,1,2,0,0,2,3,0,1,1,1,1,0,1,5,2,2,2,0,1,0,2,2,3,2,8,3,3,8,5,6,9,7,4,2,7,5,5,8,9,2,11,5,4,12,7,8,8,4,7,3,6,5,3,12,10,5,4,7,5,10,6,10,5,10,12,8,6,6,4,6,3,7,6,6,8,2,4,7,11,6,11,7,5,22,17,16,17,17,13,16,18,16,16,12,16,23,17,24,17,25,21,24,16,19,17,15,18,27,25,15,18,25,15,23,21,27,22,21,16,17,11,26,21,23,16,23,13,8,17,18,17,16,11,22,8,13,13,20,19,22,15,20,0,1549
10,2,1,1,3,1,2,1,2,2,3,2,1,3,1,2,1,2,1,0,2,1,1,1,2,2,0,1,4,4,4,3,1,0,2,2,1,2,2,0,3,3,3,3,0,1,2,1,1,1,2,8,1,3,2,1,2,0,2,1,2,0,3,5,15,7,8,8,10,3,9,8,5,12,10,4,5,2,15,11,10,7,2,6,4,8,8,13,11,9,5,7,10,6,8,9,9,8,7,7,5,7,11,7,7,8,7,15,10,5,10,12,7,5,13,5,6,4,11,5,7,11,13,18,19,20,21,14,13,24,19,25,22,25,24,14,18,22,13,23,18,21,23,13,25,24,17,19,27,22,26,21,24,20,26,14,17,18,20,14,21,20,23,14,19,22,12,17,18,13,21,18,21,14,18,20,17,19,20,15,0,1698
11,0,3,1,2,1,5,4,1,2,1,0,1,6,4,4,5,2,2,1,1,3,0,2,0,0,1,0,1,4,3,2,1,2,1,3,1,2,2,5,1,1,2,0,0,2,0,1,0,3,1,1,2,0,0,2,1,5,0,5,0,6,7,7,11,9,8,8,12,10,7,11,11,10,11,7,11,4,4,9,8,8,11,8,9,3,9,10,12,5,10,11,10,6,8,9,7,12,14,8,11,9,6,6,8,10,3,7,8,6,7,6,6,14,16,8,12,10,7,10,10,17,21,23,24,19,17,26,20,26,22,28,25,20,26,25,21,23,20,16,22,20,24,21,22,19,19,29,18,16,17,23,15,23,19,20,12,25,27,23,10,25,17,22,21,17,25,16,24,20,21,22,26,28,20,22,23,16,18,32,0,1885
